year_key,league_key,team_key,park_key,games,openings,attendance
1883,AA,PT1,PIT02,32,0,0
1883,AA,PT1,PIT03,17,0,0
1883,AA,SL4,STL03,49,0,0
1884,UA,ALT,ALT01,18,0,0
1884,NL,BFN,BUF02,58,0,0
1884,AA,BL2,BAL03,57,0,0
1884,UA,BLU,BAL04,49,0,0
1884,UA,BLU,BAL05,1,0,0
1884,AA,BR3,NYC05,52,0,0
1884,NL,BSN,BOS01,56,0,0
1884,UA,BSU,BOS02,57,0,0
1884,NL,CHN,CHI04,57,0,0
1884,UA,CHU,BAL04,1,0,0
1884,UA,CHU,CHI05,35,0,0
1884,UA,CHU,PIT03,5,0,0
1884,NL,CL2,CLE02,56,0,0
1884,AA,CL5,COL01,55,0,0
1884,AA,CN2,CIN04,56,0,0
1884,AA,CN2,NYC05,1,0,0
1884,UA,CNU,CIN03,52,0,0
1884,NL,DTN,DET01,58,0,0
1884,AA,IN2,IND02,44,0,0
1884,AA,IN2,IND03,11,0,0
1884,UA,KCU,KAN01,36,0,0
1884,AA,LS2,LOU02,56,0,0
1884,UA,MLU,MIL02,12,0,0
1884,NL,NY1,NYC03,58,0,0
1884,AA,NY4,NYC03,22,0,0
1884,AA,NY4,NYC06,33,0,0
1884,AA,PH4,PHI01,54,0,0
1884,NL,PHI,PHI04,57,0,0
1884,UA,PHU,PHI05,35,0,0
1884,NL,PRO,PRO02,57,0,0
1884,AA,PT1,PIT04,56,0,0
1884,AA,RIC,RIC02,22,0,0
1884,AA,SL4,STL03,55,0,0
1884,UA,SLU,STL04,55,0,0
1884,AA,TL1,TOL01,54,0,0
1884,AA,TL1,TOL02,1,0,0
1884,UA,WIL,WIL01,7,0,0
1884,AA,WS7,WAS04,30,0,0
1884,UA,WSU,WAS03,65,0,0
1885,NL,BFN,BUF02,50,0,0
1885,NL,BFN,ELM01,2,0,0
1885,NL,BFN,MIL02,1,0,0
1885,AA,BL2,BAL03,55,0,0
1885,AA,BR3,NYC05,57,0,0
1885,NL,BSN,BOS01,59,0,0
1885,NL,CHN,CHI06,56,0,0
1885,AA,CN2,CIN04,56,0,0
1885,NL,DTN,DET01,52,0,0
1885,AA,LS2,LOU02,56,0,0
1885,NL,NY1,NYC03,61,0,0
1885,AA,NY4,NYC03,52,0,0
1885,AA,PH4,PHI01,57,0,0
1885,NL,PHI,PHI04,55,0,0
1885,NL,PRO,MIL02,1,0,0
1885,NL,PRO,PRO02,50,0,0
1885,AA,PT1,PIT04,57,0,0
1885,AA,SL4,STL03,55,0,0
1885,NL,SL5,IND02,1,0,0
1885,NL,SL5,STL04,57,0,0
1886,AA,BL2,BAL03,67,3,6300
1886,AA,BR3,NYC05,56,3,12000
1886,AA,BR3,NYC07,14,3,17000
1886,NL,BSN,BOS01,59,0,0
1886,NL,CHN,CHI06,62,1,3000
1886,AA,CN2,CIN04,71,2,13000
1886,NL,DTN,DET01,62,1,5000
1886,NL,KCN,KAN02,58,1,5000
1886,AA,LS2,LOU02,69,1,10000
1886,NL,NY1,NYC03,63,4,56000
1886,AA,NY4,SAI01,65,2,10000
